timestamp,log_type,message
16.74349,Log,Hit Blackzone
16.74349,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.75455,Log,Hit Blackzone
16.75455,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.76579,Log,Hit Blackzone
16.76579,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.77706,Log,Hit Blackzone
16.77706,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.78827,Log,Hit Blackzone
16.78827,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.79932,Log,Hit Blackzone
16.79932,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.8104,Log,Hit Blackzone
16.8104,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.8218,Log,Hit Blackzone
16.8218,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.83406,Log,Hit Blackzone
16.83406,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.84399,Log,Hit Blackzone
